sentence_id,condition,oci_A_Default,oci_B_Edit_heavy,oci_C_Style_heavy,oci_D_Similarity_heavy,oci_E_Equal_weights
ABC.train.gold.bea19_016268,fewshot,0.019336292997487726,0.026927626149505775,0.013912654850208784,0.014355415752044918,0.013751648808680378
ABC.train.gold.bea19_016268,instruction,0.019336292997487726,0.026927626149505775,0.013912654850208784,0.014355415752044918,0.013751648808680378
ABC.train.gold.bea19_016268,role,0.019336292997487726,0.026927626149505775,0.013912654850208784,0.014355415752044918,0.013751648808680378
ABC.train.gold.bea19_005141,fewshot,0.006271354336272963,0.008859824274575519,0.004433146777241607,0.004439616057149302,0.004351780719040645
ABC.train.gold.bea19_005141,instruction,0.006271354336272963,0.008859824274575519,0.004433146777241607,0.004439616057149302,0.004351780719040645
ABC.train.gold.bea19_005141,role,0.006271354336272963,0.008859824274575519,0.004433146777241607,0.004439616057149302,0.004351780719040645
A.train.gold.bea19_005655,fewshot,0.009309563160488966,0.01315309005294448,0.006588085553427835,0.006611166607339026,0.006397713286666994
A.train.gold.bea19_005655,instruction,0.009309563160488966,0.01315309005294448,0.006588085553427835,0.006611166607339026,0.006397713286666994
A.train.gold.bea19_005655,role,0.009309563160488966,0.01315309005294448,0.006588085553427835,0.006611166607339026,0.006397713286666994
C.train.gold.bea19_002319,fewshot,0.015390220284630706,0.020212564131492212,0.011936949423301568,0.012996126585699656,0.012500243587527661
C.train.gold.bea19_002319,instruction,0.015390220284630706,0.020212564131492212,0.011936949423301568,0.012996126585699656,0.012500243587527661
C.train.gold.bea19_002319,role,0.015390220284630706,0.020212564131492212,0.011936949423301568,0.012996126585699656,0.012500243587527661
A.train.gold.bea19_009180,fewshot,0.10384324587117642,0.09413922888636106,0.10634314443214857,0.07672768876301898,0.08769003018200618
A.train.gold.bea19_009180,instruction,0.1389599847189079,0.1089578931184105,0.15144916907485492,0.10299264511930466,0.12361413537052485
A.train.gold.bea19_009180,role,0.14987810423283246,0.11173016596663173,0.16645210107633757,0.11116224276315415,0.13544545779138703
B.train.gold.bea19_000368,fewshot,0.012035351362588355,0.015224375920032007,0.010761465818683843,0.009186826889349922,0.010032097556132845
B.train.gold.bea19_000368,instruction,0.012035351362588355,0.015224375920032007,0.010761465818683843,0.009186826889349922,0.010032097556132845
B.train.gold.bea19_000368,role,0.012035351362588355,0.015224375920032007,0.010761465818683843,0.009186826889349922,0.010032097556132845
ABC.train.gold.bea19_006239,fewshot,0.009045631982770223,0.012812722342941753,0.006406361171470877,0.006406361171470877,0.006045805049708671
ABC.train.gold.bea19_006239,instruction,0.012496520933809445,0.017374081983999545,0.008977493185410315,0.0095583975722314,0.008641977786432645
ABC.train.gold.bea19_006239,role,0.009045631982770223,0.012812722342941753,0.006406361171470877,0.006406361171470877,0.006045805049708671
ABC.train.gold.bea19_022305,fewshot,0.044102745995185544,0.04523489157660948,0.04309300072234591,0.03572572351886315,0.03800165631438274
ABC.train.gold.bea19_022305,instruction,0.03863221833909008,0.03931112147744939,0.03719802322293767,0.030525556658689862,0.03271263197091709
ABC.train.gold.bea19_022305,role,0.03863221833909008,0.03931112147744939,0.03719802322293767,0.030525556658689862,0.03271263197091709
B.train.gold.bea19_000537,fewshot,0.011703008857853815,0.014904000020959969,0.010335381434998,0.008944694605243478,0.009588974216486794
B.train.gold.bea19_000537,instruction,0.011703008857853815,0.014904000020959969,0.010335381434998,0.008944694605243478,0.009588974216486794
B.train.gold.bea19_000537,role,0.011703008857853815,0.014904000020959969,0.010335381434998,0.008944694605243478,0.009588974216486794
ABC.train.gold.bea19_002209,fewshot,0.017051396965950386,0.022286198827251223,0.012599050939207802,0.015488713327528505,0.014715145829287237
ABC.train.gold.bea19_002209,instruction,0.017051396965950386,0.022286198827251223,0.012599050939207802,0.015488713327528505,0.014715145829287237
ABC.train.gold.bea19_002209,role,0.017051396965950386,0.022286198827251223,0.012599050939207802,0.015488713327528505,0.014715145829287237
ABC.train.gold.bea19_030671,fewshot,0.011256459076100976,0.014451020663352486,0.009834080582000288,0.008555725517846162,0.008993574507483008
ABC.train.gold.bea19_030671,instruction,0.011256459076100976,0.014451020663352486,0.009834080582000288,0.008555725517846162,0.008993574507483008
ABC.train.gold.bea19_030671,role,0.011256459076100976,0.014451020663352486,0.009834080582000288,0.008555725517846162,0.008993574507483008
B.train.gold.bea19_003379,fewshot,0.014253023864007843,0.020006538084341288,0.010003269042170644,0.010003269042170644,0.010983981693363846
B.train.gold.bea19_003379,instruction,0.014253023864007843,0.020006538084341288,0.010003269042170644,0.010003269042170644,0.010983981693363846
B.train.gold.bea19_003379,role,0.014253023864007843,0.020006538084341288,0.010003269042170644,0.010003269042170644,0.010983981693363846
ABC.train.gold.bea19_022377,fewshot,0.00997180663618624,0.01374986520651492,0.007263673807387448,0.007586233566571764,0.007280704587596695
ABC.train.gold.bea19_022377,instruction,0.006350114416475971,0.008968072354800042,0.004484036177400021,0.004484036177400021,0.004456794159311321
ABC.train.gold.bea19_022377,role,0.006350114416475971,0.008968072354800042,0.004484036177400021,0.004484036177400021,0.004456794159311321
ABC.train.gold.bea19_028533,fewshot,0.015195938215103028,0.021514383785550865,0.01075719189277547,0.010757191892775542,0.0102361882968291
ABC.train.gold.bea19_028533,instruction,0.015195938215103028,0.021514383785550865,0.01075719189277547,0.010757191892775542,0.0102361882968291
ABC.train.gold.bea19_028533,role,0.015195938215103028,0.021514383785550865,0.01075719189277547,0.010757191892775542,0.0102361882968291
